Operator,a1,Turbine rating (kW),Blade length (m),Tower height (m),Built duration,Metocean,water_depth2,Type_Alpha,Type_beta,Type_delta,Type_gamma,Region_Asia,Region_Europe,Region_Middle East,Region_UK,Region_US,nac_weight,blade_weight
0.0,250.0,4000.0,69.0,207.0,36.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,22.0
0.0,250.0,4000.0,69.0,207.0,31.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,90.0,22.0
0.0,250.0,450.0,61.199999999999996,173.1,44.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,68.0,21.5
0.0,240.0,2300.0,70.5,201.0,40.333333333333336,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,66.0,20.0
1.0,240.0,2450.0,100.5,270.0,42.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,105.0,17.7
0.0,232.0,1400.0,42.0,126.0,36.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,120.0,
0.0,225.0,1250.0,38.5,115.5,36.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,
0.0,225.0,2110.0,61.199999999999996,173.1,48.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,18.0
0.0,220.0,2120.0,41.099999999999994,123.29999999999998,44.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,16.0
0.0,200.0,2120.0,40.0,120.0,36.666666666666664,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,69.0,9.5
0.0,190.0,400.0,35.5,106.5,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,9.6
0.0,185.0,5300.0,74.2,222.6,38.333333333333336,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,20.0
0.0,180.0,350.0,34.5,103.5,46.666666666666664,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,14.0
0.0,180.0,1800.0,49.300000000000004,147.9,36.666666666666664,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0,16.0
0.0,173.0,2200.0,50.5,151.5,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0
0.0,170.0,1000.0,34.5,103.5,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0
0.0,160.0,4500.0,71.2,213.6,46.333333333333336,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0
0.0,160.0,2830.0,75.4,215.7,48.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0,20.0
1.0,157.0,4000.0,84.6,253.79999999999998,55.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,16.0
1.0,154.0,1500.0,39.0,117.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,9.6
0.0,150.0,650.0000000000001,43.0,129.0,37.333333333333336,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,14.0
0.0,150.0,1700.0,27.600000000000005,82.80000000000001,31.333333333333332,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
0.0,150.0,1000.0,37.8,113.39999999999999,48.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,8.5
0.0,150.0,0.0,25.300000000000004,75.9,34.666666666666664,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,25.0
0.0,150.0,2120.0,41.300000000000004,123.9,36.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0,19.0
0.0,150.0,2120.0,50.6,151.8,32.66666666666667,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,20.0
0.0,150.0,2120.0,36.900000000000006,110.70000000000002,26.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,108.92,16.59
0.0,150.0,3000.0,78.0,234.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0
0.0,140.0,1000.0,30.0,90.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0
1.0,140.0,1140.0,30.0,90.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,
0.0,140.0,1500.0,34.5,103.5,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,10.0
1.0,130.0,2200.0,31.5,94.5,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,8.0
0.0,120.0,1250.0,19.825000000000006,59.474999999999994,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,5.6
0.0,120.0,1500.0,42.3,126.89999999999999,31.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,22.0
0.0,120.0,1770.0,36.900000000000006,110.70000000000002,24.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,15.0
0.0,105.0,1400.0,19.825000000000006,59.474999999999994,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,6.3
0.0,100.0,73.00000000000023,28.325000000000003,84.97500000000001,34.666666666666664,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,16.0
0.0,100.0,500.0,9.0,26.999999999999986,32.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,21.0
0.0,100.0,800.0,33.325,99.975,34.666666666666664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,9.0
0.0,100.0,950.0,50.766666666666666,152.29999999999998,36.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,21.0
0.0,100.0,1150.0,30.0,90.0,32.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,19.0
0.0,100.0,1600.0,45.0,135.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,24.0
0.0,100.0,5000.000000000001,60.0,180.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,67.0,11.4
0.0,96.0,600.0,51.666666666666664,155.0,25.333333333333336,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,8.5
1.0,90.0,75.0,47.266666666666666,141.79999999999998,22.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,16.0
0.0,90.0,1000.0,40.599999999999994,121.79999999999998,29.666666666666668,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,17.0
0.0,89.0,530.0,28.325000000000003,84.97500000000001,26.666666666666668,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,5.0
0.0,85.0,500.0,6.0,18.0,26.666666666666664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,5.4
1.0,85.0,6700.0,75.0,225.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,8.75
0.0,80.0,450.0,28.325000000000003,84.97500000000001,19.333333333333332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,10.0
0.0,80.0,450.0,47.266666666666666,141.79999999999998,29.666666666666668,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,25.0
0.0,80.0,1000.0,52.266666666666666,156.79999999999998,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,10.35
0.0,80.0,1740.0,46.8,140.39999999999998,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,17.0
0.0,76.0,240.0,24.991666666666667,74.97500000000001,26.666666666666664,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,25.0
0.0,70.0,750.0,18.975,56.92500000000001,12.000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,5.0
0.0,70.0,850.0,71.66666666666667,215.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,5.0
0.0,70.0,1100.0,75.0,225.0,31.333333333333336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.8,30.0
0.0,63.0,800.0,60.0,180.0,24.333333333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,6.2
0.0,60.0,140.0,50.0,150.0,24.333333333333336,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,8.45
0.0,60.0,265.0,51.666666666666664,155.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,5.4
0.0,60.0,3000.0,37.900000000000006,113.7,27.666666666666664,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0
0.0,57.0,530.0,30.0,90.0,36.333333333333336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.7
0.0,45.0,1100.0,80.0,240.0,24.333333333333336,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,5.6
0.0,45.0,1160.0,61.666666666666664,185.0,36.333333333333336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,5.6
0.0,40.0,320.0,95.0,285.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25.0
0.0,30.0,1000.0,68.33333333333333,205.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,15.0
